00A1,A
00A4,A
00A7,A
00A8,A
00AA,A
00AD,A
00AE,A
00B0,A
00B1,A
00B2..00B3,A
00B4,A
00B6..00B7,A
00B8,A
00B9,A
00BA,A
00BC..00BE,A
00BF,A
00C6,A
00D0,A
00D7,A
00D8,A
00DE..00E1,A
00E6,A
00E8..00EA,A
00EC..00ED,A
00F0,A
00F2..00F3,A
00F7,A
00F8..00FA,A
00FC,A
00FE,A
0101,A
0111,A
0113,A
011B,A
0126..0127,A
012B,A
0131..0133,A
0138,A
013F..0142,A
0144,A
0148..014B,A
014D,A
0152..0153,A
0166..0167,A
016B,A
01CE,A
01D0,A
01D2,A
01D4,A
01D6,A
01D8,A
01DA,A
01DC,A
0251,A
0261,A
02C4,A
02C7,A
02C9..02CB,A
02CD,A
02D0,A
02D8..02DB,A
02DD,A
02DF,A
0300..036F,A
0391..03A1,A
03A3..03A9,A
03B1..03C1,A
03C3..03C9,A
0401,A
0410..044F,A
0451,A
1100..115F,W
2010,A
2013..2015,A
2016,A
2018,A
2019,A
201C,A
201D,A
2020..2022,A
2024..2027,A
2030,A
2032..2033,A
2035,A
203B,A
203E,A
2074,A
207F,A
2081..2084,A
20AC,A
2103,A
2105,A
2109,A
2113,A
2116,A
2121..2122,A
2126,A
212B,A
2153..2154,A
215B..215E,A
2160..216B,A
2170..2179,A
2189,A
2190..2194,A
2195..2199,A
21B8..21B9,A
21D2,A
21D4,A
21E7,A
2200,A
2202..2203,A
2207..2208,A
220B,A
220F,A
2211,A
2215,A
221A,A
221D..2220,A
2223,A
2225,A
2227..222C,A
222E,A
2234..2237,A
223C..223D,A
2248,A
224C,A
2252,A
2260..2261,A
2264..2267,A
226A..226B,A
226E..226F,A
2282..2283,A
2286..2287,A
2295,A
2299,A
22A5,A
22BF,A
2312,A
231A..231B,W
2329,W
232A,W
23E9..23EC,W
23F0,W
23F3,W
2460..249B,A
249C..24E9,A
24EB..24FF,A
2500..254B,A
2550..2573,A
2580..258F,A
2592..2595,A
25A0..25A1,A
25A3..25A9,A
25B2..25B3,A
25B6,A
25B7,A
25BC..25BD,A
25C0,A
25C1,A
25C6..25C8,A
25CB,A
25CE..25D1,A
25E2..25E5,A
25EF,A
25FD..25FE,W
2605..2606,A
2609,A
260E..260F,A
2614..2615,W
261C,A
261E,A
2640,A
2642,A
2648..2653,W
2660..2661,A
2663..2665,A
2667..266A,A
266C..266D,A
266F,A
267F,W
2693,W
269E..269F,A
26A1,W
26AA..26AB,W
26BD..26BE,W
26BF,A
26C4..26C5,W
26C6..26CD,A
26CE,W
26CF..26D3,A
26D4,W
26D5..26E1,A
26E3,A
26E8..26E9,A
26EA,W
26EB..26F1,A
26F2..26F3,W
26F4,A
26F5,W
26F6..26F9,A
26FA,W
26FB..26FC,A
26FD,W
26FE..26FF,A
2705,W
270A..270B,W
2728,W
273D,A
274C,W
274E,W
2753..2755,W
2757,W
2776..277F,A
2795..2797,W
27B0,W
27BF,W
2B1B..2B1C,W
2B50,W
2B55,W
2B56..2B59,A
2E80..2E99,W
2E9B..2EF3,W
2F00..2FD5,W
2FF0..2FFB,W
3000,F
3001..3003,W
3004,W
3005,W
3006,W
3007,W
3008,W
3009,W
300A,W
300B,W
300C,W
300D,W
300E,W
300F,W
3010,W
3011,W
3012..3013,W
3014,W
3015,W
3016,W
3017,W
3018,W
3019,W
301A,W
301B,W
301C,W
301D,W
301E..301F,W
3020,W
3021..3029,W
302A..302D,W
302E..302F,W
3030,W
3031..3035,W
3036..3037,W
3038..303A,W
303B,W
303C,W
303D,W
303E,W
3041..3096,W
3099..309A,W
309B..309C,W
309D..309E,W
309F,W
30A0,W
30A1..30FA,W
30FB,W
30FC..30FE,W
30FF,W
3105..312F,W
3131..318E,W
3190..3191,W
3192..3195,W
3196..319F,W
31A0..31BA,W
31C0..31E3,W
31F0..31FF,W
3200..321E,W
3220..3229,W
322A..3247,W
3248..324F,A
3250,W
3251..325F,W
3260..327F,W
3280..3289,W
328A..32B0,W
32B1..32BF,W
32C0..32FE,W
3300..33FF,W
3400..4DB5,W
4DB6..4DBF,W
4E00..9FEF,W
9FF0..9FFF,W
A000..A014,W
A015,W
A016..A48C,W
A490..A4C6,W
A960..A97C,W
AC00..D7A3,W
E000..F8FF,A
F900..FA6D,W
FA6E..FA6F,W
FA70..FAD9,W
FADA..FAFF,W
FE00..FE0F,A
FE10..FE16,W
FE17,W
FE18,W
FE19,W
FE30,W
FE31..FE32,W
FE33..FE34,W
FE35,W
FE36,W
FE37,W
FE38,W
FE39,W
FE3A,W
FE3B,W
FE3C,W
FE3D,W
FE3E,W
FE3F,W
FE40,W
FE41,W
FE42,W
FE43,W
FE44,W
FE45..FE46,W
FE47,W
FE48,W
FE49..FE4C,W
FE4D..FE4F,W
FE50..FE52,W
FE54..FE57,W
FE58,W
FE59,W
FE5A,W
FE5B,W
FE5C,W
FE5D,W
FE5E,W
FE5F..FE61,W
FE62,W
FE63,W
FE64..FE66,W
FE68,W
FE69,W
FE6A..FE6B,W
FF01..FF03,F
FF04,F
FF05..FF07,F
FF08,F
FF09,F
FF0A,F
FF0B,F
FF0C,F
FF0D,F
FF0E..FF0F,F
FF10..FF19,F
FF1A..FF1B,F
FF1C..FF1E,F
FF1F..FF20,F
FF21..FF3A,F
FF3B,F
FF3C,F
FF3D,F
FF3E,F
FF3F,F
FF40,F
FF41..FF5A,F
FF5B,F
FF5C,F
FF5D,F
FF5E,F
FF5F,F
FF60,F
FFE0..FFE1,F
FFE2,F
FFE3,F
FFE4,F
FFE5..FFE6,F
FFFD,A
16FE0..16FE1,W
17000..187F1,W
18800..18AF2,W
1B000..1B0FF,W
1B100..1B11E,W
1B170..1B2FB,W
1F004,W
1F0CF,W
1F100..1F10A,A
1F110..1F12D,A
1F130..1F169,A
1F170..1F18D,A
1F18E,W
1F18F..1F190,A
1F191..1F19A,W
1F19B..1F1AC,A
1F200..1F202,W
1F210..1F23B,W
1F240..1F248,W
1F250..1F251,W
1F260..1F265,W
1F300..1F320,W
1F32D..1F335,W
1F337..1F37C,W
1F37E..1F393,W
1F3A0..1F3CA,W
1F3CF..1F3D3,W
1F3E0..1F3F0,W
1F3F4,W
1F3F8..1F3FA,W
1F3FB..1F3FF,W
1F400..1F43E,W
1F440,W
1F442..1F4FC,W
1F4FF..1F53D,W
1F54B..1F54E,W
1F550..1F567,W
1F57A,W
1F595..1F596,W
1F5A4,W
1F5FB..1F5FF,W
1F600..1F64F,W
1F680..1F6C5,W
1F6CC,W
1F6D0..1F6D2,W
1F6EB..1F6EC,W
1F6F4..1F6F9,W
1F910..1F93E,W
1F940..1F970,W
1F973..1F976,W
1F97A,W
1F97C..1F9A2,W
1F9B0..1F9B9,W
1F9C0..1F9C2,W
1F9D0..1F9FF,W
20000..2A6D6,W
2A6D7..2A6FF,W
2A700..2B734,W
2B735..2B73F,W
2B740..2B81D,W
2B81E..2B81F,W
2B820..2CEA1,W
2CEA2..2CEAF,W
2CEB0..2EBE0,W
2EBE1..2F7FF,W
2F800..2FA1D,W
2FA1E..2FA1F,W
2FA20..2FFFD,W
30000..3FFFD,W
E0100..E01EF,A
F0000..FFFFD,A
100000..10FFFD,A